"filename", "language", "CSS", "JavaScript React", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\package-lock.json", "JSON", 0, 0, 0, 16742, 0, 0, 0, 1, 16743
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\package.json", "JSON", 0, 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\public\index.css", "CSS", 151, 0, 0, 0, 0, 0, 0, 23, 174
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\public\index.html", "HTML", 0, 0, 0, 0, 0, 12, 10, 1, 23
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Actions\index.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Header.jsx", "JavaScript React", 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Play.jsx", "JavaScript React", 0, 60, 0, 0, 0, 0, 0, 7, 67
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Playfield.jsx", "JavaScript React", 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\QuestionTable.jsx", "JavaScript React", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Questions.jsx", "JavaScript React", 0, 137, 0, 0, 0, 0, 0, 11, 148
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\name.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\point.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\questions.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\index.jsx", "JavaScript React", 0, 65, 0, 0, 0, 0, 0, 7, 72
"Total", "-", 151, 340, 70, 16786, 38, 12, 10, 106, 17513
