"filename", "language", "JSON", "Markdown", "CSS", "HTML", "JavaScript React", "JavaScript", "comment", "blank", "total"
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\package-lock.json", "JSON", 16921, 0, 0, 0, 0, 0, 0, 1, 16922
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\public\index.css", "CSS", 0, 0, 152, 0, 0, 0, 0, 23, 175
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\public\index.html", "HTML", 0, 0, 0, 12, 0, 0, 10, 1, 23
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Actions\index.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 5, 33
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Header.jsx", "JavaScript React", 0, 0, 0, 0, 33, 0, 0, 3, 36
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Play.jsx", "JavaScript React", 0, 0, 0, 0, 60, 0, 0, 7, 67
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Playfield.jsx", "JavaScript React", 0, 0, 0, 0, 151, 0, 1, 10, 162
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\QuestionTable.jsx", "JavaScript React", 0, 0, 0, 0, 34, 0, 0, 4, 38
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Components\Questions.jsx", "JavaScript React", 0, 0, 0, 0, 150, 0, 0, 11, 161
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\index.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\name.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\point.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\Reducers\questions.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Boros Bence\Documents\Meló\Straxus_test\src\index.jsx", "JavaScript React", 0, 0, 0, 0, 65, 0, 0, 7, 72
"Total", "-", 16971, 38, 152, 12, 493, 77, 11, 113, 17867
